"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995"
3,0,1,2,8,34,4,3,3,1,1,4,0,4,1,18.943,65,1,-1.24,4,0,5,2,1,1,12,2,1,3,4,2,1,2,2,5,2,3,2,2,2,1,2,1,1,11,1,5,2,4,2,4,1,3.6,2,1.67,1,0,90.2,0
5,0,1,6,8,51,4,4,2,1,0,5,0,4,0,27.516,76,3.83,0.13,4,0,1,3,1,3,10,1,2.25,4,5,2,1,6,3,1,3,4,2,2,2,2,2,1,2,8,4,5,5,2,3,4,1.25,4,1.33,3.67,3.83,0,92.5,0
10,0,1,5,7,42,5,4,3,1,1,5,0,4,0,23.285,60,3.75,0.99,4,0,1,4,2,2,3,2,1.25,3.7,4,4,1,1,1,1,4,2,2,2,2,2,2,2,2,9,3,5,5,3,1,4,1.5,3.5,1.33,3.33,3.19,0,91.3,0
13,1,1,2,8,44,4,4,3,1,1,3,0,4,0,23.58,78,2.25,0.17,3.5,0,1,3,1,2,9,2,1.25,3.3,5,1,1,1,1,4,1,3,1,2,1,1,2,1,2,4,2,5,2,2,1,4,2.25,3.6,1.67,1.67,2.01,0,92.5,0
26,0,1,3,8,67,4,4,2,1,1,4,0,4,1,34.327,71,1.63,-0.01,4,0,1,3,1,2,9,1,1.75,3.3,3,1,2,1,1,1,2,2,2,2,2,2,2,1,2,6,3,4,4,1,2,4,1.5,3.5,2.33,5,1.63,0,92.5,0
27,0,1,5,8,49,3,3,3,1,1,5,0,4,0,26.326,48,1,0.23,4,0,3,5,1,1,14,1,1.25,3.7,5,1,1,3,3,3,4,2,2,1,2,2,2,1,1,8,2,5,5,1,1,4,1,4,1.67,4.67,1.74,0,92.5,0
29,1,1,6,8,51,2,4,3,1,1,5,0,3.5,0,27.388,66,3,1.09,4,0,1,1,1,1,7,2,1,3.9,5,2,1,2,2,1,4,3,2,2,2,2,2,1,1,7,2,5,5,4,1,4,1.25,3.9,2,2.67,3,0,94.3,0
30,0,1,5,7,41,3,3,3,1,1,3,0,3.75,0,22.4505,47,2,0.97,4,0,5,6,1,1,11,2,1.5,4,4,2,3,2,2,10,9,2,2,2,2,2,2,1,1,4,4,4,4,3,3,4,1,3.7,1.67,2.67,2,0,92.5,0
32,0,1,3,7,38,4,4,3,1,1,5,0,4,0,20.969,62,3.33,-0.11,4,0,1,4,2,1,8,1,2,3.7,4,2,1,1,1,1,4,2,2,2,2,2,2,2,1,8,4,5,5,4,1,4,1.25,4,1.67,4.67,3.68,0,91.6,0
48,1,0,1,7,45,5,4,3,1,1,5,0,4,0,23.876,72,1.75,0.3,4,0,3,4,1,1,14,1,1,4,5,2,1,2,2,5,4,2,2,2,1,2,2,1,1,8,1,5,4,2,2,4,2,3.9,1.33,5,1.75,0,92.5,0
