"caseId","Present living situation-1995","number people living w/respondent-1995","Economic situation/3 year ago-1995","Parent divorced/separated past year-1995","Parent re/married past year-1995","Parent lost job/past year-1995","Respondent ill/disabled past year-1995","Parent died past year-1995","Respondent sex-1995","Respodent US Citizenship-1995","Respondent job classification-1995","Don't feel save at school-1995","attainable education level-1995","Paren education preference-1995","Respondent hour studying-1995","Good grade importance-1995","English Knowledge-1995","Depression-1995","Self-esteem-1995","Familism index-1995","Family cohesion-1995","GPA-1995","Dropped out by 1995","Percent daily school attendance-1995","Private school-1995","desired.job.prestige.score-1991","GPA","Parent.SES.index-1991","English.Knowledge-1991","Private.school-1991","Houshold.guardians-1991","number.household.members-1991","Sex","Respondent.US.stay.length-1991","Respondent job preference-1991","felt discriminated-1991","Depression-1991","Self-esteem-1991","education expectation-1991","Hours/day on HW-1991","Good grades importance-1991","Reason Dad came to US","Reason Mom came to US"
2,1,3,1,2,2,2,2,2,2,1,11,2,4,5,2,1,3.5,1.5,3.3,1.33,4.67,0.58,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,2,3,2,2,2,1,2,1,1,11,1,5,2,4,2,4,1,3.6,2,1.67,1,0,90.2,0,65,1,-1.24,4,0,5,2,1,1,12,2,1,3,4,2,1,2,2
5,1,3,4,2,2,2,2,2,1,2,8,4,5,5,2,3,4,1.25,4,1.33,3.67,3.83,0,92.5,0,76,3.83,0.13,4,0,1,3,1,3,10,1,2.25,4,5,2,1,6,3
6,5,2,3,1,1,2,2,2,2,1,5,1,4,5,2,1,4,1.75,3.2,1,3.33,1.28,0,92.7,0,78,1,0.29,4,0,5,2,2,1,10,1,1,3.6,3,1,3,2,2
8,1,5,1,2,2,2,2,2,2,1,8,3,4,5,2,2,3,1,4,1.67,2,2.37,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,2,1,2,2,2,1,2,1,1,6,1,2,5,1,4,4,3.25,4,2.67,3,0.56,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,4,2,2,2,2,2,2,2,2,9,3,5,5,3,1,4,1.5,3.5,1.33,3.33,3.19,0,91.3,0,60,3.75,0.99,4,0,1,4,2,2,3,2,1.25,3.7,4,4,1,1,1
12,5,3,3,2,2,2,2,2,2,1,6,3,5,5,4,1,4,1.25,3.3,2,3.33,4.17,0,90.2,0,71,4,1.47,4,0,5,3,2,1,9,2,1.5,3.4,5,6,1,1,1
13,4,1,3,1,2,1,1,2,1,2,4,2,5,2,2,1,4,2.25,3.6,1.67,1.67,2.01,0,92.5,0,78,2.25,0.17,3.5,0,1,3,1,2,9,2,1.25,3.3,5,1,1,1,1
16,1,2,3,2,2,2,2,2,2,1,8,4,4,5,6,1,4,1.5,3.7,1.67,2.67,2.42,0,92.5,0,67,2.42,0.49,4,0,1,2,2,1,5,2,1.5,3.3,4,2,1,2,1
17,1,5,3,2,2,2,2,2,2,2,8,4,5,5,1,2,4,1.5,4,1.67,4,3.13,0,91.3,0,78,3,-0.17,4,0,1,6,2,3,10,2,1.25,3.7,5,2,2,2,2
19,1,4,2,2,2,1,2,2,2,2,11,4,5,5,3,1,4,1.75,3.8,1,3.33,3.25,0,92.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,3,3,2,2,2,1,2,1,1,7,3,4,4,2,2,3.75,2,2.5,2.33,4.33,2.08,0,91.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,3,4,2,2,1,2,2,1,1,11,3,4,4,2,2,4,1,4,2.33,5,1.5,0,92.5,0,48,1.5,0.81,4,0,1,4,1,2,13,1,1.25,4,3,2,1,2,2
26,1,2,2,2,2,2,2,2,1,2,6,3,4,4,1,2,4,1.5,3.5,2.33,5,1.63,0,92.5,0,71,1.63,-0.01,4,0,1,3,1,2,9,1,1.75,3.3,3,1,2,1,1
27,3,4,2,2,1,2,2,2,1,1,8,2,5,5,1,1,4,1,4,1.67,4.67,1.74,0,92.5,0,48,1,0.23,4,0,3,5,1,1,14,1,1.25,3.7,5,1,1,3,3
28,1,4,2,2,2,2,2,2,2,1,6,3,5,5,3,1,4,1.25,4,1.33,4.67,2.83,0,92.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,4,3,2,2,2,2,2,1,1,7,2,5,5,4,1,4,1.25,3.9,2,2.67,3,0,94.3,0,66,3,1.09,4,0,1,1,1,1,7,2,1,3.9,5,2,1,2,2
