"caseId","Residence Own house/aprt","Disabled or Ill","Highest education completed","Present work situation","Current job prestige scores","Current occupation satisfaction","Present income satisfaction","Respodent identity importance","Respodent detention/jail/prison","Country feels like home","Respondent health","Has Children","Average English Skill","MariageStatus","successIndex"
1,0,1,5,7,57,4,4,3,1,1,4,1,4,1,30.145
3,0,1,2,8,34,4,3,3,1,1,4,0,4,1,18.943
5,0,1,6,8,51,4,4,2,1,0,5,0,4,0,27.516
7,0,1,3,8,42,5,5,3,1,1,4,0,3.75,1,23.0235
10,0,1,5,7,42,5,4,3,1,1,5,0,4,0,23.285
13,1,1,2,8,44,4,4,3,1,1,3,0,4,0,23.58
21,0,1,6,8,44,5,4,3,1,1,5,0,4,1,24.532
25,0,1,6,8,62,4,3,3,1,1,4,0,4,1,32.587
26,0,1,3,8,67,4,4,2,1,1,4,0,4,1,34.327
27,0,1,5,8,49,3,3,3,1,1,5,0,4,0,26.326
29,1,1,6,8,51,2,4,3,1,1,5,0,3.5,0,27.388
30,0,1,5,7,41,3,3,3,1,1,3,0,3.75,0,22.4505
32,0,1,3,7,38,4,4,3,1,1,5,0,4,0,20.969
34,0,1,5,8,52,5,4,2,1,1,5,0,4,1,27.957
35,1,1,4,8,51,4,4,3,1,1,5,0,3.75,0,27.2095
36,1,1,6,8,53,5,4,2,1,1,5,0,3.5,0,28.509
38,0,1,5,7,39,4,4,3,1,1,5,0,4,0,21.824
48,1,0,1,7,45,5,4,3,1,1,5,0,4,0,23.876
52,0,1,4,7,38,4,3,2,1,1,5,0,3.5,0,20.931
54,0,1,3,7,53,3,3,3,1,1,5,1,4,0,27.729
57,0,1,2,8,20,3,2,3,0,1,3,0,4,0,11.804
58,1,1,4,8,53,4,3,3,1,1,5,0,4,0,28.089
60,0,1,4,8,78,5,5,2,1,1,5,0,3.75,0,39.6845
61,0,1,6,8,29,4,3,1,1,1,5,0,4,0,17.33
65,0,1,8,8,54,5,4,3,1,1,5,0,4,1,29.518
66,0,1,3,7,39,5,3,3,1,1,3,0,4,0,21.354
74,1,1,6,8,66,4,2,3,1,1,4,0,4,0,34.329
75,0,1,3,8,49,3,2,3,1,1,3,0,4,0,25.772
76,0,1,3,8,67,5,5,2,1,1,4,0,4,1,34.499
78,0,1,6,8,57,4,5,2,1,1,5,0,4,1,30.454
79,0,1,3,7,31,3,2,3,1,1,2,0,4,0,17.391
80,0,1,2,8,39,1,4,3,1,1,5,0,4,0,21.062
81,0,1,2,8,38,4,4,2,1,1,5,1,4,1,20.9
82,1,1,2,8,53,1,5,3,1,1,5,0,4,0,27.617
83,0,1,5,8,38,4,2,3,1,1,5,0,4,0,21.273
84,0,1,4,8,32,3,1,3,1,1,4,0,4,0,18.114
86,0,1,2,8,34,1,3,1,1,1,3,0,4,0,18.511
87,0,1,3,8,18,4,1,2,0,1,5,0,4,0,11.101
88,1,1,3,8,55,5,5,3,1,1,5,0,4,1,29.116
89,0,1,3,7,38,3,1,2,1,1,5,0,3.75,0,20.5225
91,0,1,4,7,62,2,4,2,1,1,5,0,3.25,1,31.8645
92,1,1,3,7,60,3,2,2,1,1,3,0,4,0,30.729
93,0,0,3,7,20,4,2,3,1,1,3,1,4,0,12.473
